"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"219","Middle East and North Africa","United Arab Emirates","-","18.8","16.4","17.2","18.1","Country"
"220","Europe","United Kingdom","-","5.2","6.3","7.0","7.5","Country"
"221","Africa","United Republic of Tanzania","-","2.8","12.3","12.6","12.6","Country"
"222","North America and Caribbean","United States of America","-","9.4","10.7","12.1","12.9","Country"
"223","South and Central America","Uruguay","-","5.7","9.0","10.0","10.9","Country"
"224","North America and Caribbean","US Virgin Islands","-","12.1","12.4","13.7","14.4","Country"
"225","Europe","Uzbekistan","-","6.4","7.0","7.7","8.1","Country"
"226","Western Pacific","Vanuatu","-","16.1","15.6","16.9","17.4","Country"
"227","South and Central America","Venezuela (Bolivarian Republic of)","-","10.2","9.6","11.9","12.7","Country"
"228","Western Pacific","Viet Nam","-","3.2","6.1","6.7","7.1","Country"
"229","Middle East and North Africa","Yemen","-","9.6","5.4","5.7","5.7","Country"
"230","Africa","Zambia","-","4.8","11.9","13.2","14.0","Country"
"231","Africa","Zimbabwe","-","9.8","2.1","2.2","2.3","Country"
